Address,Price,Info,URL
"16417 Turquoise Trl, Weston, FL 33331","$575,000","4 bds,3 ba,2,812 sqft- House for sale",https://www.zillow.com/homedetails/16417-Turquoise-Trl-Weston-FL-33331/43147781_zpid/
"16300 Golf Club Rd Apt 114, Weston, FL 33326","$259,000","2 bds,3 ba,1,273 sqft- Condo for sale",https://www.zillow.com/homedetails/16300-Golf-Club-Rd-APT-114-Weston-FL-33326/43137674_zpid/
"2507 Montclaire Cir, Weston, FL 33327","$1,275,000","6 bds,4 ba,3,772 sqft- House for sale",https://www.zillow.com/homedetails/2507-Montclaire-Cir-Weston-FL-33327/43128493_zpid/
"3847 W Gardenia Ave, Weston, FL 33332","$679,900","4 bds,3 ba,2,728 sqft- House for sale",https://www.zillow.com/homedetails/3847-W-Gardenia-Ave-Weston-FL-33332/66121447_zpid/
"622 Turtle Run, Weston, FL 33326","$415,000","4 bds,3 ba,1,479 sqft- House for sale",https://www.zillow.com/homedetails/622-Turtle-Run-Weston-FL-33326/43134324_zpid/
"3822 Tree Top Dr, Weston, FL 33332","$385,000","4 bds,3 ba,1,790 sqft- Townhouse for sale",https://www.zillow.com/homedetails/3822-Tree-Top-Dr-Weston-FL-33332/60965839_zpid/
"16300 Golf Club Rd Apt 314, Weston, FL 33326","$195,000","2 bds,3 ba,1,273 sqft- Condo for sale",https://www.zillow.com/homedetails/16300-Golf-Club-Rd-APT-314-Weston-FL-33326/43137712_zpid/
"163 Lakeview Dr Apt 201, Weston, FL 33326","$258,000","3 bds,2 ba,1,228 sqft- House for sale",https://www.zillow.com/homedetails/163-Lakeview-Dr-APT-201-Weston-FL-33326/43133302_zpid/
"244 Landings Blvd, Weston, FL 33327","$958,000","6 bds,3 ba,3,181 sqft- House for sale",https://www.zillow.com/homedetails/244-Landings-Blvd-Weston-FL-33327/43126321_zpid/
"1597 Passion Vine Cir #1597, Fort Lauderdale, FL 33326","$479,000","4 bds,3 ba,2,505 sqft- Townhouse for sale",https://www.zillow.com/homedetails/1597-Passion-Vine-Cir-1597-Fort-Lauderdale-FL-33326/2076544209_zpid/
"1529 Garden Rd, Weston, FL 33326","$389,900","3 bds,3 ba,1,502 sqft- House for sale",https://www.zillow.com/homedetails/1529-Garden-Rd-Weston-FL-33326/43144053_zpid/
"2980 Windmill Ranch Rd, Weston, FL 33331","$2,492,000","7 bds,7 ba,6,571 sqft- House for sale",https://www.zillow.com/homedetails/2980-Windmill-Ranch-Rd-Weston-FL-33331/43145673_zpid/
"277 Bridgeton Way, Weston, FL 33326","$485,000","3 bds,3 ba,1,588 sqft- House for sale",https://www.zillow.com/homedetails/277-Bridgeton-Way-Weston-FL-33326/43136888_zpid/
"68 Gables Blvd, Weston, FL 33326","$558,000","4 bds,3 ba,2,562 sqft- House for sale",https://www.zillow.com/homedetails/68-Gables-Blvd-Weston-FL-33326/43134187_zpid/
